Year;Consumer Films;Consumer Bags;Consumer Bottles;Other Consumer Packaging;Non Consumer Bags;Other Non Consumer Films;Other Non Consumer Packaging;Pipes and Ducts;Insulation;Wall and Floor Coverings;Windows, Profiles and Fitted Furniture;Lining;Building Packaging Films;Building Textiles;Geotextiles;Agricultural Packaging Films;Agricultural Packaging Bottles;Agricultural Films;Agricultural Pipes;Other Agricultural Plastics;Agrotextiles;Automotive;Mobility Textiles;Electrical and Electronic Equipment;Household Plastics;Furniture;Personal Care and Cosmetic Products;Other Plastic Products;Hygiene and Medical Textiles;Clothing;Technical Clothing;Household Textiles;Technical Household Textiles;Fabric Coatings;Other Technical Textiles
42;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
43;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
44;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
45;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
46;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
47;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
48;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
49;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
50;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0,001666667;0;0;0;0;0;0;0;0;0;0;0,001
51;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
52;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
53;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
54;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
55;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
56;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
57;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
58;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
59;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
60;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
61;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
62;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
63;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
64;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
65;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
66;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
67;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
